"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.03431,0.03497,0.03538,2e-04,0.03624,0.02753,0.05776,0.02599,0.0845,0.0615,0.0347,0.00674,0.03307,0.15311,0.02783,0.05798,0.04039,0.00664,0.03031,0.04604,0.03297,0.05841
0.03802,0.03242,0.03693,1e-04,0.04568,0.03334,0.05424,0.02118,0.06722,0.06911,0.04147,0.00783,0.03757,0.15452,0.02879,0.04684,0.036,0.00808,0.0275,0.04343,0.03761,0.05869
0.02919,0.02816,0.03578,0,0.03878,0.03197,0.04957,0.02101,0.08879,0.0596,0.04021,0.00674,0.03514,0.12177,0.02929,0.03628,0.03888,0.00814,0.02459,0.03137,0.03474,0.05854
0.03365,0.02939,0.03568,1e-04,0.03524,0.02971,0.0512,0.02586,0.06664,0.06185,0.0385,0.00628,0.04368,0.13766,0.0314,0.04668,0.03509,0.00844,0.03262,0.03846,0.03587,0.07299
0.03762,0.0298,0.03563,2e-04,0.03403,0.03505,0.05186,0.02908,0.07658,0.08566,0.04114,0.00663,0.03197,0.11859,0.03166,0.04268,0.03593,0.00734,0.03206,0.04204,0.03423,0.07376
0.03824,0.03425,0.03723,2e-04,0.03382,0.04098,0.06791,0.03155,0.08663,0.08738,0.04181,0.01073,0.04096,0.13314,0.03351,0.05746,0.04918,0.01104,0.03686,0.04211,0.03912,0.09767
0.04069,0.04532,0.04579,6e-04,0.04967,0.04695,0.06109,0.03906,0.07268,0.10724,0.05031,0.0114,0.0445,0.20482,0.04032,0.05959,0.04475,0.01206,0.03963,0.05526,0.0451,0.09144
0.0394,0.04238,0.04653,2e-04,0.04585,0.03983,0.08046,0.035,0.08706,0.07249,0.04775,0.01211,0.05267,0.12862,0.0363,0.0397,0.03987,0.01061,0.03815,0.05793,0.05723,0.08456
0.02875,0.02966,0.03613,2e-04,0.03993,0.0337,0.06695,0.02892,0.07454,0.07801,0.03754,0.00746,0.04296,0.10044,0.03203,0.0383,0.0325,0.00815,0.02779,0.04544,0.04159,0.06332
0.02529,0.02795,0.03333,2e-04,0.03155,0.03882,0.08118,0.03274,0.08052,0.11069,0.03434,0.00584,0.04201,0.1241,0.03116,0.04234,0.03191,0.00924,0.03119,0.03993,0.03746,0.06222
0.02748,0.03149,0.03422,1e-04,0.03411,0.03129,0.05876,0.02126,0.07125,0.06645,0.03417,0.00783,0.04411,0.12867,0.03366,0.04631,0.04186,0.0078,0.02891,0.0381,0.03029,0.07596
0.04209,0.04226,0.04927,2e-04,0.04887,0.04176,0.06879,0.04031,0.09621,0.10673,0.05027,0.01059,0.05107,0.15414,0.04682,0.06173,0.05221,0.00944,0.03589,0.06589,0.0481,0.08273
