"C3","C4","CZ","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.07055,0.0476,0.04677,0.05815,0.04224,0.03003,0.01902,0.02267,0.01843,0.0486,0.02422,0.02385,0.021,0.02974,0.02417,0.02723,0.04149,0.02176,0.02192,0.02241,0.01877
0.098,0.04179,0.04683,0.08024,0.04756,0.0538,0.0238,0.03621,0.03519,0.05324,0.02857,0.03012,0.0248,0.03275,0.03047,0.03829,0.03081,0.01616,0.01741,0.02276,0.02504
0.12429,0.03571,0.04213,0.07245,0.05634,0.05522,0.03112,0.08243,0.07148,0.05762,0.05844,0.0304,0.02942,0.03146,0.0396,0.04759,0.0346,0.01358,0.01319,0.02561,0.01733
0.08997,0.03703,0.03196,0.05461,0.03653,0.03748,0.02896,0.05131,0.05416,0.03924,0.01149,0.0294,0.0266,0.03736,0.0474,0.03944,0.01932,0.02527,0.01667,0.03303,0.01959
0.1361,0.03884,0.04421,0.05642,0.03888,0.04999,0.03734,0.03066,0.02542,0.03025,0.00936,0.02335,0.01973,0.03424,0.02594,0.02775,0.01695,0.02303,0.01503,0.02422,0.0125
0.08813,0.02699,0.03847,0.04913,0.03769,0.04105,0.03904,0.0238,0.02908,0.0301,0.0109,0.02582,0.0246,0.03742,0.04658,0.05559,0.01788,0.02032,0.01163,0.02632,0.02091
0.09344,0.05743,0.07989,0.0456,0.03439,0.02731,0.0146,0.02447,0.02145,0.03355,0.01515,0.02918,0.02277,0.02999,0.02278,0.02873,0.02049,0.02425,0.01391,0.02528,0.01405
0.11412,0.03324,0.0432,0.06108,0.04132,0.04784,0.02572,0.02697,0.02126,0.04127,0.02278,0.0262,0.02926,0.0282,0.03226,0.03604,0.04655,0.02342,0.01437,0.02658,0.02352
0.08337,0.03687,0.05387,0.07736,0.07091,0.04794,0.02993,0.03583,0.02111,0.06206,0.01021,0.02738,0.0256,0.03639,0.02876,0.03093,0.01733,0.02147,0.01582,0.02778,0.01717
0.05807,0.03193,0.04782,0.04554,0.03625,0.02939,0.01745,0.02063,0.01856,0.03321,0.07355,0.02849,0.02693,0.03608,0.03489,0.03865,0.02534,0.02036,0.01513,0.02284,0.01949
0.06559,0.04646,0.07764,0.06468,0.03388,0.03875,0.01644,0.0318,0.01934,0.03727,0.13672,0.03579,0.02898,0.04243,0.03212,0.03364,0.04053,0.02115,0.01628,0.02741,0.01905
0.10373,0.04478,0.06904,0.07067,0.04802,0.05139,0.02098,0.03526,0.0248,0.05084,0.08478,0.03918,0.04179,0.03656,0.03716,0.04172,0.0786,0.01806,0.01253,0.02854,0.02605
0.09887,0.03482,0.05325,0.04765,0.04104,0.03711,0.0195,0.02588,0.02237,0.0387,0.16492,0.0363,0.02961,0.03563,0.03204,0.03461,0.05089,0.01659,0.01371,0.02194,0.01853
0.08274,0.02812,0.03387,0.08349,0.06266,0.04109,0.0197,0.03618,0.02911,0.06954,0.06307,0.02443,0.028,0.02858,0.03666,0.04007,0.02435,0.02273,0.00957,0.02211,0.02394
0.09206,0.03169,0.03892,0.06702,0.04581,0.04511,0.0247,0.03068,0.0271,0.0464,0.01027,0.02562,0.02474,0.03809,0.03408,0.03555,0.01607,0.02246,0.01435,0.03336,0.02167
0.06836,0.03881,0.04939,0.11809,0.09163,0.03868,0.03267,0.06385,0.05439,0.10093,0.0079,0.02363,0.01727,0.04419,0.02532,0.03168,0.01538,0.02371,0.01737,0.04012,0.01416
0.06144,0.04204,0.0446,0.06929,0.04906,0.02924,0.01976,0.02217,0.02322,0.0509,0.00939,0.02352,0.01889,0.03722,0.03168,0.03346,0.01728,0.02342,0.01799,0.0236,0.01872
0.10411,0.03076,0.04117,0.09965,0.08385,0.03675,0.0245,0.04216,0.03012,0.09,0.00985,0.02672,0.02664,0.03589,0.03641,0.03902,0.01594,0.02422,0.01974,0.03177,0.01959
0.12162,0.0547,0.05386,0.0483,0.02367,0.03548,0.01432,0.02021,0.01635,0.02575,0.00765,0.02948,0.02618,0.03973,0.03528,0.0404,0.02083,0.01692,0.0314,0.03841,0.0132
0.06856,0.03627,0.04612,0.05589,0.03092,0.03358,0.01732,0.02325,0.01958,0.03528,0.00899,0.0206,0.02023,0.04655,0.02378,0.02905,0.01475,0.02338,0.01541,0.03054,0.01362
0.10854,0.06558,0.11383,0.05263,0.03745,0.03177,0.02079,0.02057,0.02095,0.03693,0.00869,0.0278,0.0266,0.05358,0.03417,0.03895,0.01607,0.01962,0.02083,0.02835,0.01717
0.09394,0.06073,0.07617,0.04881,0.03644,0.03371,0.01915,0.02325,0.02155,0.03573,0.02819,0.02949,0.03243,0.02932,0.03662,0.04464,0.03098,0.01985,0.0189,0.01914,0.02114
0.07087,0.06805,0.09538,0.06189,0.04223,0.04107,0.02355,0.02802,0.02306,0.04613,0.03644,0.02345,0.02066,0.04275,0.02558,0.03232,0.02935,0.01915,0.01739,0.0269,0.01706
0.13015,0.10234,0.11608,0.07321,0.04876,0.06316,0.04047,0.04544,0.05322,0.05073,0.01008,0.03212,0.0303,0.04166,0.03083,0.03946,0.0149,0.01645,0.02404,0.02763,0.01854
0.1075,0.03921,0.04738,0.05342,0.03909,0.04892,0.0326,0.03983,0.03772,0.0393,0.0111,0.02991,0.02955,0.03471,0.03695,0.04355,0.02552,0.02583,0.01792,0.02439,0.01974
0.11204,0.034,0.03919,0.05042,0.0292,0.05149,0.02796,0.04605,0.03809,0.03115,0.11671,0.02355,0.02045,0.03797,0.02608,0.03502,0.03523,0.02413,0.01389,0.02832,0.01595
0.11701,0.02737,0.0407,0.0546,0.0584,0.04326,0.03304,0.03403,0.03484,0.04936,0.00848,0.02307,0.02075,0.03484,0.02588,0.03303,0.01948,0.02162,0.01377,0.02619,0.01618
0.08784,0.04829,0.05705,0.06552,0.04944,0.04097,0.03252,0.02767,0.02632,0.04675,0.00569,0.02822,0.02435,0.04022,0.02668,0.03227,0.01665,0.01656,0.02417,0.02678,0.01578
0.05424,0.03399,0.03954,0.04568,0.0272,0.0417,0.02171,0.02774,0.02093,0.02868,0.01063,0.03854,0.03127,0.0327,0.03963,0.04491,0.01798,0.01768,0.01282,0.02683,0.02468
0.06252,0.03642,0.0411,0.06918,0.04819,0.05126,0.02961,0.03254,0.03175,0.04884,0.01365,0.04309,0.05721,0.02331,0.03685,0.03802,0.02319,0.02229,0.01816,0.02003,0.03227
0.07061,0.04063,0.04521,0.1387,0.14029,0.06931,0.05805,0.07236,0.05706,0.12779,0.01327,0.03212,0.03034,0.03947,0.03223,0.03544,0.02142,0.01851,0.01529,0.02835,0.02751
0.074,0.0322,0.03363,0.06654,0.045,0.04885,0.03429,0.03066,0.03019,0.04629,0.02047,0.03311,0.029,0.03675,0.04641,0.04208,0.03281,0.01769,0.01833,0.02924,0.02079
0.11722,0.02986,0.03562,0.06338,0.03513,0.04509,0.02227,0.0273,0.0227,0.03573,0.0191,0.04312,0.03845,0.04538,0.05143,0.04746,0.03196,0.01809,0.01479,0.0363,0.02445
0.09734,0.03265,0.03903,0.27587,0.22283,0.08988,0.06836,0.11179,0.08311,0.23603,0.0108,0.02727,0.02819,0.04688,0.04281,0.05794,0.02051,0.02129,0.01932,0.03008,0.02007
0.07179,0.04106,0.0462,0.08788,0.07346,0.05135,0.02684,0.04666,0.03677,0.07753,0.0154,0.02829,0.02519,0.04893,0.03021,0.04284,0.02105,0.01821,0.0204,0.0339,0.0176
0.08216,0.02981,0.04393,0.10354,0.08252,0.04196,0.02158,0.03748,0.02793,0.09264,0.01153,0.02734,0.02508,0.03269,0.0341,0.04541,0.02476,0.02349,0.0145,0.02207,0.01874
0.08816,0.03245,0.04212,0.06317,0.04526,0.03646,0.02156,0.02799,0.02364,0.04686,0.01391,0.02754,0.02298,0.03396,0.04947,0.06313,0.01952,0.03027,0.01597,0.02286,0.01689
0.09934,0.02936,0.03716,0.06572,0.05983,0.03898,0.02436,0.02704,0.02342,0.05503,0.30852,0.02884,0.02766,0.04052,0.034,0.03802,0.1659,0.0186,0.01708,0.03361,0.02248
0.065,0.0318,0.03709,0.23613,0.248,0.05584,0.06707,0.07394,0.08287,0.24278,0.10944,0.03329,0.03259,0.02495,0.03432,0.04019,0.03388,0.01799,0.01784,0.01832,0.02096
0.07072,0.06801,0.07669,0.15373,0.12304,0.04503,0.03609,0.03707,0.03771,0.12966,0.1038,0.03002,0.02591,0.03032,0.02862,0.03705,0.07432,0.01709,0.01954,0.01674,0.0181
0.10685,0.06609,0.09108,0.06012,0.03467,0.04428,0.02033,0.02289,0.02249,0.0358,0.49102,0.03445,0.03593,0.0391,0.03944,0.04624,0.13242,0.01979,0.01915,0.03593,0.02604
0.07783,0.05443,0.07291,0.04935,0.03927,0.02732,0.02065,0.02696,0.02296,0.03763,0.14266,0.03117,0.02898,0.06085,0.0379,0.03938,0.04776,0.0213,0.02305,0.03963,0.01893
0.06629,0.05017,0.05221,0.06165,0.05065,0.04249,0.0262,0.03393,0.02621,0.05054,0.02831,0.02556,0.02649,0.06775,0.03649,0.03055,0.03729,0.01966,0.02127,0.04825,0.02469
0.07353,0.0519,0.05331,0.05191,0.03895,0.03411,0.02173,0.02917,0.02098,0.0387,0.03309,0.03428,0.03033,0.06959,0.03548,0.0374,0.03609,0.0192,0.02806,0.04489,0.01767
0.09387,0.04071,0.05457,0.04956,0.02124,0.04127,0.01201,0.0228,0.0147,0.02364,0.01302,0.02402,0.02675,0.0533,0.03248,0.03774,0.01948,0.0203,0.02569,0.04782,0.02134
0.08122,0.0344,0.03912,0.06005,0.03491,0.04886,0.01761,0.03091,0.02402,0.03757,0.07867,0.03902,0.03353,0.04177,0.03811,0.04169,0.02965,0.02205,0.01633,0.02769,0.02276
0.07611,0.03627,0.0389,0.12415,0.09887,0.04854,0.03484,0.0617,0.04252,0.10389,0.03309,0.0322,0.02627,0.04036,0.03659,0.03881,0.0203,0.01821,0.01683,0.03034,0.02281
0.07613,0.06993,0.09639,0.10892,0.06889,0.04004,0.01737,0.03271,0.02421,0.07832,0.02182,0.03191,0.02693,0.04005,0.03728,0.03969,0.02155,0.02324,0.01988,0.0271,0.02186
0.07708,0.0424,0.06518,0.05379,0.04499,0.03425,0.02069,0.02266,0.03272,0.04029,0.01166,0.02576,0.02443,0.0446,0.03449,0.0396,0.01511,0.02672,0.01665,0.02609,0.01676
0.05454,0.02931,0.05138,0.17367,0.19447,0.05112,0.05855,0.07296,0.08281,0.17505,0.00926,0.01973,0.01702,0.03922,0.02347,0.03165,0.01968,0.02603,0.01178,0.02523,0.01643
0.06497,0.0355,0.05041,0.06022,0.03857,0.03446,0.01879,0.02711,0.02461,0.04263,0.01015,0.02685,0.02729,0.03935,0.03637,0.03491,0.01985,0.02113,0.01351,0.02723,0.02148
0.06712,0.03088,0.0387,0.06065,0.03629,0.03092,0.01754,0.02149,0.02067,0.03801,0.00755,0.02033,0.02114,0.03035,0.02698,0.02622,0.02145,0.02511,0.01577,0.02159,0.01676
0.05984,0.04585,0.05234,0.1311,0.07768,0.07035,0.02839,0.05726,0.0357,0.09164,0.00849,0.02315,0.02261,0.03325,0.04808,0.04453,0.01601,0.03078,0.01603,0.02061,0.02168
0.08255,0.02598,0.03376,0.19351,0.11494,0.0965,0.04279,0.12149,0.05708,0.13576,0.00944,0.02687,0.02131,0.03687,0.03464,0.04667,0.02238,0.028,0.01273,0.0283,0.01741
0.07931,0.02853,0.03602,0.11657,0.10227,0.04218,0.03891,0.03571,0.04419,0.10228,0.0181,0.03503,0.03501,0.02663,0.06507,0.06538,0.03606,0.02024,0.01051,0.02104,0.02999
0.07795,0.02869,0.03933,0.06453,0.04621,0.03786,0.01899,0.02648,0.02402,0.04976,0.00964,0.04378,0.03628,0.02843,0.04773,0.05423,0.01953,0.0153,0.01325,0.02181,0.02455
0.07549,0.02884,0.0329,0.06187,0.03453,0.03539,0.01864,0.02528,0.02092,0.03975,0.0141,0.03342,0.03783,0.02789,0.04479,0.05142,0.01985,0.02148,0.01397,0.02296,0.02967
0.05938,0.02594,0.03461,0.04666,0.03447,0.02363,0.02004,0.02763,0.0323,0.038,0.01677,0.03887,0.03964,0.02689,0.05837,0.05021,0.02095,0.02061,0.01157,0.02026,0.03155
