"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T5","T6"
0.57278,0.79582,0.98874,0.17034,0.46304,0.72707,0.83391,0.72704,1.75513,2.02365,0.70278,0.28181,1.02128,0.91202,0.81066,1.04434,1.20739,0.54823,0.32775,0.61414,0.70017
0.54469,0.63101,0.80658,0.1851,0.46706,0.64689,0.35632,0.64763,0.53003,0.83446,0.6161,0.14969,0.86438,0.70879,0.70008,0.81829,0.90607,0.22918,0.33668,0.47409,0.53486
0.542,0.76979,0.91281,0.17161,0.42037,0.74015,0.68943,0.84406,1.67383,2.60175,0.61466,0.28484,0.94604,0.75181,0.74744,0.94142,1.02993,0.83435,0.30827,0.58364,0.7295
0.6286,0.68076,0.89079,0.1583,0.47391,0.62797,0.45385,0.75751,1.07671,1.76514,0.57573,0.25343,0.78032,0.64797,0.77546,0.85137,0.95643,0.72241,0.33963,0.56829,0.56103
0.62394,0.70365,1.00365,0.18588,0.56143,0.65746,0.67462,0.6565,1.43122,1.41954,0.73191,0.37766,0.9026,0.77298,0.74462,0.9416,1.13038,0.38928,0.41002,0.50263,0.74832
0.65786,0.63981,0.88702,0.16956,0.49735,0.67384,0.47995,0.73857,0.92752,1.54717,0.63893,0.2199,0.86333,0.70251,0.68878,0.82764,1.02936,0.37818,0.36896,0.48231,0.54568
0.64076,0.85441,1.07203,0.17566,0.5248,0.77516,0.63559,0.75291,1.80296,2.26039,0.74205,0.94822,1.05493,0.85889,0.82037,1.06123,1.23142,0.49328,0.37654,0.53036,0.72712
0.74988,0.7914,1.06848,0.18357,0.60019,0.703,0.74392,0.77645,1.15967,1.37711,0.70432,0.3149,0.77382,0.73808,0.79766,0.92108,1.06953,0.27663,0.40349,0.48752,0.67126
0.76727,0.81319,1.04732,0.15827,0.61119,0.76581,0.51007,0.78613,0.79557,1.3599,0.81737,0.31798,1.10423,0.79875,0.93507,1.05862,1.16828,0.86892,0.40493,0.70107,0.66156
0.79294,1.1336,1.37406,0.17599,0.83983,1.3004,1.43947,1.26456,3.10958,3.47488,1.1415,2.64187,1.0478,0.9114,0.88142,1.27316,1.36181,3.62873,0.45513,0.58922,0.89301
0.83469,1.0053,1.33905,0.18743,0.74842,1.23387,1.14017,1.60751,2.72168,5.16657,1.07158,1.86645,1.01005,0.9236,0.91461,1.29215,1.33735,7.30404,0.50575,0.62875,0.87008
0.68433,0.94972,1.11371,0.19822,0.8249,1.06442,1.59711,1.19582,4.11368,5.35671,0.96049,1.76575,1.14119,0.96846,0.9003,1.26172,1.40193,1.63016,0.44028,0.55433,0.80984
0.57472,0.68154,0.83225,0.18863,0.59776,0.83087,0.59173,0.89319,1.1636,2.0723,0.72108,0.46253,0.8775,0.74838,0.7158,0.86448,0.9208,1.14107,0.36293,0.49663,0.6858
0.54579,0.70145,0.88088,0.18269,0.46589,0.81584,0.39998,0.92657,0.86012,1.84387,0.67885,0.23965,0.73291,0.58537,0.65181,0.75391,0.90912,0.70817,0.32723,0.45222,0.48798
0.60915,0.58032,0.8602,0.17413,0.60575,0.69888,0.56518,0.64179,1.12936,1.29772,0.79988,0.32971,0.7186,0.72212,0.6653,0.84446,0.86252,0.52951,0.3307,0.46582,0.70328
