"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
2.3361,1.95908,2.46472,0.09723,1.30644,1.71608,0.75309,0.90378,0.94992,1.3237,1.97682,0.44509,2.62431,1.64699,2.47452,2.03955,2.38985,0.3765,0.82527,0.75143,1.50894,1.05214
2.05118,1.83767,2.01706,0.10275,2.76722,1.76107,1.13665,1.01647,2.25836,1.41944,2.00646,0.53296,3.25233,1.82115,1.94364,2.04129,1.99338,0.50812,0.87821,0.89592,1.14076,0.90497
1.9394,1.47964,1.75992,0.10688,1.1164,1.46451,0.63226,0.87017,0.97353,1.17414,1.61654,0.39424,1.5736,1.26197,2.48139,1.57547,1.83159,0.41078,0.72816,0.7282,1.07772,0.87817
1.52226,1.00521,1.42705,0.10798,1.1306,1.06657,0.80317,0.85127,0.89018,0.99663,1.51394,0.36509,1.57147,1.43422,1.36625,1.48761,1.2317,0.3808,0.87218,0.82386,1.25009,1.24201
1.45415,1.19239,1.52328,0.10687,1.06625,1.5112,0.70969,1.00401,0.93977,1.35171,1.603,0.3804,2.03803,1.57757,1.73052,1.64189,1.64938,0.44916,0.77979,0.5488,1.51053,1.03536
1.25643,1.24831,1.1802,0.11601,1.27685,1.15932,0.80846,0.77311,0.95416,0.9241,1.4835,0.3182,1.87513,1.86388,1.3224,1.7253,1.14383,0.36476,0.74658,0.59301,0.77106,0.99009
1.06497,0.76564,0.88912,0.11101,0.56302,0.59902,0.42599,0.51692,0.50524,0.62614,0.8046,0.19384,0.74534,0.817,1.21569,0.99366,0.94229,0.26599,0.53115,0.4568,0.64457,0.58484
0.99386,0.98435,1.0015,0.1075,1.28653,0.97719,0.80007,0.63372,1.28507,0.99648,1.27845,0.36874,0.82466,0.85154,1.06136,0.96641,0.99088,0.31737,0.65533,0.48828,0.68831,0.54267
1.37542,1.19757,1.30584,0.12058,1.04259,1.00423,0.64361,0.72589,0.74437,0.89415,1.14433,0.30166,1.63364,1.626,1.34446,1.37687,1.3202,0.3338,0.67855,0.6481,1.29269,0.96624
2.45157,2.49703,3.17564,0.40809,1.57042,2.24927,0.83926,1.13261,1.32462,1.786,2.78589,0.37543,2.82827,1.93681,1.86446,2.47724,2.51752,0.56298,1.14629,0.84148,1.21272,1.00433
1.97299,1.8855,2.19671,0.14318,1.38387,1.69137,0.91332,1.01893,0.99579,1.33273,1.90269,0.48407,1.6474,1.43755,1.95993,2.12507,1.93695,0.49206,1.07281,0.93293,1.4503,1.26663
1.42284,0.91894,1.43618,0.10856,1.15858,0.93487,0.69628,0.57185,0.89585,0.84938,1.39034,0.37989,1.03292,1.20412,1.24812,1.40157,1.31794,0.29139,0.79159,0.59684,0.6658,0.74251
1.3512,1.33906,1.56241,0.14158,0.98404,1.20853,0.60243,0.82075,0.75206,0.9693,1.29941,0.3017,2.19272,2.10655,1.18617,1.25205,1.48877,0.37366,0.58035,0.60878,0.99812,0.68686
3.0459,2.59332,3.53307,0.72352,2.07118,2.7197,1.22106,1.91315,1.91159,2.21283,2.79094,0.68534,2.76051,2.33562,2.68544,2.70727,2.73379,0.68882,1.25055,1.56802,2.18236,1.37908
1.92915,1.97508,2.04102,0.30188,0.88883,1.97225,0.85531,1.86594,0.95557,1.67657,1.71477,0.44273,2.11486,1.60821,1.89786,2.5299,2.48292,0.70701,0.83957,1.49687,1.29936,1.36047
1.74338,1.84552,2.28703,0.17871,1.62244,1.87131,0.90118,1.10648,1.29167,1.4856,1.86013,0.36643,1.51813,1.26388,1.80203,2.30064,2.51516,0.47941,0.95383,0.97892,1.21535,0.90652
0.83007,0.74419,0.8897,0.15383,0.77333,0.77528,0.51026,0.54839,0.70869,0.78591,1.03686,0.27421,0.96832,0.6586,1.01686,0.80481,0.96417,0.28355,0.39177,0.42701,0.51132,0.47562
1.15652,1.34032,1.51807,0.13469,1.11686,1.37589,0.62613,0.82621,0.97799,1.30757,1.74132,0.29393,1.32367,1.25508,1.17527,1.31659,1.24321,0.32735,0.51469,0.56556,0.85459,0.63275
1.37036,1.61176,1.86656,0.14661,1.18826,1.30193,0.66888,0.79761,0.80404,1.08966,1.7203,0.24481,1.2535,1.20751,1.49241,1.69681,1.79344,0.32699,0.57198,0.76726,1.0247,0.92231
1.3708,1.45737,1.75536,0.11202,1.0181,1.1337,1.09021,0.86339,0.86245,1.08189,1.34176,0.66878,1.35639,1.42066,1.55006,1.66011,1.78774,0.35212,0.85786,0.70249,0.8488,0.8727
1.52408,1.45042,1.8906,0.10784,1.02146,1.11552,0.8508,0.9338,0.86067,1.14459,1.52639,0.5356,1.2904,1.40565,1.41496,1.53799,1.66988,0.41891,0.79656,0.70297,0.8107,0.81586
1.49452,1.30402,1.78932,0.11242,0.76826,0.95954,0.67578,0.90909,0.75289,0.9302,1.50245,0.83124,1.65072,1.69542,1.50919,1.84578,1.88816,0.63498,0.74617,0.69973,1.2976,0.98902
1.50518,1.60046,1.81853,0.13129,1.09838,1.41305,0.67618,1.17957,0.80245,1.23207,1.72678,0.41528,1.42563,1.33425,1.47347,1.42443,1.63527,0.5039,0.68253,0.69869,1.23367,0.78703
1.23939,1.53652,1.50931,0.11819,1.13103,1.46255,0.66954,0.90637,0.90872,1.1937,1.61345,0.31853,1.26169,1.31487,1.28717,1.74839,1.33796,0.40856,0.6243,0.70592,0.897,0.94021
1.24414,1.14286,1.42408,0.10949,0.92084,0.86372,0.5974,0.64072,0.77658,0.85075,1.16841,0.37457,1.30135,0.9019,1.40886,1.37677,1.25974,0.34982,0.58888,0.53273,0.88408,0.6641
0.99046,1.13448,1.35237,0.10697,0.71865,0.88182,0.50248,0.6494,0.67792,0.81531,1.20806,0.25645,0.94836,0.83168,0.89597,1.10788,1.10107,0.28057,0.5057,0.48165,0.66313,0.6038
1.236,1.18317,1.54166,0.10462,0.79427,1.00698,0.62932,0.67328,0.67545,0.86487,1.18343,0.26222,1.31189,1.12395,1.16443,1.30566,1.31819,0.32293,0.64663,0.55481,0.95692,0.80659
1.56605,1.42214,1.98518,0.11755,1.40106,1.1523,0.69164,0.74194,0.98827,1.01239,1.65395,0.33936,1.36412,0.97075,1.19518,1.16462,1.12736,0.32227,0.65126,0.52526,0.69382,0.72597
1.33931,1.09705,1.35319,0.09621,0.71955,0.87147,0.51086,0.797,0.63394,0.76747,1.03432,0.28545,1.15569,0.90772,1.30147,1.16392,1.21915,0.41077,0.60268,0.63511,0.73419,0.61827
1.3491,1.11378,1.53233,0.11384,0.76322,0.92877,0.60828,0.75554,0.90573,0.9364,1.21659,0.44245,1.3288,1.15375,1.40963,1.34462,1.46592,0.33121,0.50042,0.46382,0.90501,0.65349
1.54666,1.25858,1.42686,0.12815,0.99075,1.13166,0.60769,0.71202,0.81982,1.00466,1.39003,0.3036,1.67945,1.47309,1.44646,1.39309,1.69718,0.30971,0.55815,0.57499,1.43767,0.79698
0.98546,1.06465,1.26636,0.10927,0.83617,0.97094,0.49994,0.61969,0.83934,0.86696,1.29334,0.2663,1.00857,1.01356,0.96757,1.0196,1.08443,0.25894,0.44275,0.45815,0.55964,0.59556
1.36265,1.35757,1.7914,0.11002,0.71585,0.96317,0.55561,0.65234,0.6349,0.89056,1.1735,0.28415,1.08773,1.04348,1.42414,1.67168,1.68714,0.29217,0.4569,0.5789,0.64678,0.78802
