"C3","C4","CZ","EMG","F3","F4","F7","F8","FP1","FP2","FZ","LOG","O1","O2","P3","P4","PZ","ROG","T3","T4","T5","T6"
0.0206,0.023,0.02282,0.14897,0.01138,2.01087,0.04589,1.63022,0.0075,0.07891,1.18765,0.00352,0.0314,0.02096,0.06558,0.01114,0.02419,0.00477,0.01113,0.01589,0.01869,0.05598
0.0132,0.01766,0.01483,0.05877,0.00629,1.32752,0.00448,1.4416,0.00863,0.03303,0.92318,0.00235,0.02373,0.01844,0.06042,0.01369,0.01792,0.00382,0.00891,0.01275,0.01427,0.0282
0.01676,0.0165,0.01938,0.03896,0.01138,1.83697,0.04585,1.40178,0.00742,0.07854,0.84712,0.00272,0.01739,0.01209,0.08178,0.0112,0.0165,0.00296,0.00906,0.01085,0.01151,0.01213
0.01372,0.01615,0.01592,0.03553,0.00641,2.02257,0.00448,1.88994,0.00871,0.03342,1.07988,0.00204,0.01332,0.01047,0.06545,0.01227,0.01365,0.00323,0.00758,0.00945,0.01024,0.01065
0.01083,0.01529,0.01173,0.04114,0.01118,1.83768,0.04585,1.80859,0.00738,0.07833,0.88252,0.00252,0.01133,0.01014,0.05968,0.0312,0.01114,0.00329,0.00789,0.00937,0.00984,0.01059
0.0108,0.01454,0.01594,0.06543,0.00641,1.79738,0.00452,1.78384,0.00867,0.03361,0.82479,0.00319,0.01383,0.01246,0.06215,0.01737,0.01127,0.00411,0.00681,0.01099,0.00951,0.01125
0.00965,0.01579,0.01275,0.11034,0.01122,1.49029,0.04577,1.47071,0.00754,0.0777,0.80942,0.00225,0.01403,0.0119,0.04637,0.01062,0.0109,0.00296,0.00763,0.01051,0.00973,0.01215
0.01051,0.01253,0.01452,0.1117,0.00633,1.95533,0.0045,1.54824,0.00865,0.03357,0.7731,0.00217,0.01466,0.01209,0.05491,0.0118,0.01348,0.00299,0.0072,0.00967,0.01025,0.01131
0.00971,0.01059,0.0127,0.02981,0.01161,1.32368,0.04591,1.38838,0.00761,0.07811,0.96184,0.002,0.01165,0.00997,0.05118,0.01557,0.01061,0.00294,0.00615,0.00777,0.00848,0.00963
0.0099,0.01068,0.0144,0.03547,0.0061,3.01473,0.00441,2.58629,0.00845,0.03379,1.4194,0.00231,0.01131,0.01129,0.05463,0.02304,0.01043,0.00301,0.00607,0.00818,0.00742,0.00976
0.01168,0.01092,0.01462,0.02614,0.01165,2.30436,0.0461,2.06997,0.00775,0.07872,1.4992,0.00217,0.01465,0.01336,0.05718,0.01299,0.01246,0.00315,0.0063,0.00867,0.00925,0.01148
